563	Sint-Huibrechts-Lille	51.22266	5.49437	749
564	Sint-Jansrade	50.70412	5.81477	749
565	Sint-Joost-ten-Node	50.8538	4.37282	749
566	Sint-Lievens-Houtem	50.9197	3.86225	0
567	Sint-Martens-Lennik	50.81158	4.16965	749
568	Sint-Margriete-Houtem	50.82877	4.95796	749
569	Sint-Maria-Oudenhove	50.83364	3.79556	749
570	Sint-Martens-Bodegem	50.86185	4.21317	749
571	Sint-Niklaas	51.16509	4.1437	749
573	Sint-Oedenrode	51.5675	5.45972	748
574	Sint-Omaars	50.74834	2.26091	725
575	Sint-Pauwels	51.19391	4.09649	749
576	Sint-Pieters-Leeuw	50.77926	4.24355	749
577	Sint-Pieters-Woluwe	50.85505	4.37067	749
578	Sint-Remigius-Geest	50.74692	4.85845	0
579	Sint-Silvesterkappel	50.7771	2.555	725
580	Sint-Truiden	50.81679	5.18647	749
581	Sivry			0
582	Sleidinge	51.13363	3.67405	749
583	Slijken	51.22261	2.95662	0
584	Soerendonk	51.30083	5.575	748
585	Soest	52.17333	5.29167	748
586	Sombreffe	50.52865	4.60087	749
587	Somzée	50.29514	4.48209	749
588	Spa	50.48375	5.86674	749
589	Spaubeek	50.94	5.84306	748
590	Spy	50.48143	4.70944	749
591	St. Peter's	51.53535	-0.09725	307
592	Stapel			0
593	Stasse			0
594	Statte			0
595	Stavelot	50.395	5.93124	749
596	Steendorp	51.12681	4.27031	749
597	Steensel			748
598	Steenwerck	50.70199	2.77829	725
599	Steyl	51.33217	6.11942	748
600	Strassen			395
601	Strijpen	50.86801	3.78797	749
602	Strijtem	50.84155	4.11696	749
603	Strombeek-Bever	50.91039	4.35582	749
604	Stuckenbusch	51.59179	7.17476	724
605	Taintignies	50.55277	3.34224	749
606	Tardais	48.57835	1.00556	725
607	Taviers	50.61726	4.93072	749
608	Temploux	50.48558	4.75468	749
609	Temse	51.12794	4.21372	749
610	Terdegem	50.79896	2.53949	725
611	Terdek			0
612	Terheiden	51.6433	4.7531	748
613	Ternat	50.871277777778	4.1766777777778	749
614	Tessenderlo	51.06513	5.08856	749
615	Teteringen	51.60917	4.82083	748
616	Thiméon	50.48951	4.42878	749
617	Thines	50.5975	4.3686	725
618	Thorn	51.16167	5.84167	748
619	Thuin	50.33933	4.28604	749
620	Tielt	51.00375	3.36718	749
621	Tienen	50.80745	4.9378	749
622	Tijsoraniensis			307
623	Tilburg	51.55551	5.0913	748
624	Tongeren	50.78054	5.46484	749
625	Torhout	51.0656	3.10085	749
626	Tourcoing	50.72391	3.16117	725
627	Trélon	50.05805	4.102	725
628	Trembleur	50.69544	5.72604	749
629	Truielingen	50.68691	5.1242	0
630	Turnhout	51.32254	4.94471	749
631	Uden	51.66083	5.61944	748
632	Udenhout	51.60917	5.14306	748
633	Ulster	54.92732	-7.9395	307
634	Upigny	50.57174	4.87235	749
635	Utrecht	52.09083	5.12222	748
636	Valansart	49.68479	5.41515	749
637	Valenciennes	50.35909	3.52506	725
638	Vedrin	50.50273	4.87604	749
639	Veghel	51.61667	5.54861	748
640	Velroux	50.64438	5.4255	749
641	Vence			395
642	Venray	51.525	5.975	748
643	Veurne	51.07316	2.66803	749
644	Vianden	49.935	6.20889	395
645	Viane			0
646	Vigniacensis			0
647	Ville-sur-Haine	50.47657	4.06425	749
648	Villers	50.636933	5.918382	749
649	Villers-le-Peuplier	50.65673	5.09415	749
650	Vinkt	51.00864	3.47878	749
651	Virelles	50.06386	4.33505	749
652	Virton	49.56824	5.53259	749
653	Vissenaken	50.83846	4.90489	0
654	Viversel	50.99791	5.25194	749
655	Vlamertinge	50.85485	2.82024	749
656	Vlijmen	51.6975	5.21667	748
657	Vlissingen	51.4425	3.57361	748
658	Voorburg	52.07417	4.35972	748
659	Vorst	45.37725	7.60234	749
660	Vrasene	51.22098	4.19094	749
661	Waarschoot	51.1525	3.605	749
662	Waasmont	50.72833	5.06327	749
663	Waasmunster	51.10572	4.08573	749
664	Waasten	50.75158	2.94635	749
665	Wakken	50.93304	3.39743	749
666	Waldfeucht	51.0661	5.98815	724
667	Walsberg	51.47446	5.80224	748
668	Walshoutem	50.71667	5.08333	749
669	Wandre	50.66774	5.65959	749
670	Warken			395
671	Warnath			0
672	Waschenbach	49.8037	8.70804	724
673	Waspik	51.68667	4.94444	748
674	Wasseiges	50.616666666667	5	749
675	Waterford			307
676	Wateringen	52.0242	4.275	748
677	Waterland-Oudeman	51.28868	3.58987	749
678	Waver	50.716666666667	4.6	749
679	Wavreille	50.12119	5.24831	749
680	Ways	50.61108	4.46448	749
681	Weert	51.251	5.709	748
682	Kirchwehren	52.3669	9.5670	724
683	Weißenhorn	48.30501	10.16047	724
684	Well			0
685	Wemmel	50.90812	4.30613	749
686	Wervik	50.78069	3.03854	749
687	Westerhoven	51.3325	5.39583	748
688	Westerlo	51.09049	4.91544	749
689	Westfalen	51.4295	7.39388	0
690	Wetteren	51.00526	3.88341	749
691	Wexford	52.33417	-6.4575	307
692	Wezembeek-Oppem	50.8395	4.49427	749
693	Wezet	50.7376	5.69907	749
694	Wichelen	51.00526	3.97683	749
695	Wiekevorst	51.10796	4.7924	749
696	Willebroek	51.06041	4.36019	749
697	Wiltz	49.96547	5.9339	395
698	Wingene	51.05782	3.27359	749
699	Winnezele	50.84083	2.55083	725
700	Wodeke	50.71805	3.74649	749
701	Woensel	51.47561	5.47548	748
702	Wommelgem	51.20452	4.5225	749
703	Wormhout	50.88129	2.46901	725
704	Wortegem	50.85357	3.51	749
705	Wouw	51.52167	4.39028	748
706	Zaffelare	51.13385	3.86357	749
707	Zandhoven	51.21488	4.66164	749
708	Zandvliet	51.3592	4.3089	749
709	Zarren	51.01844	2.95814	749
710	Zaventem	50.88365	4.47298	749
711	Zegelsem	50.81891	3.71775	749
712	Zepperen	50.82139	5.24769	749
713	Zevenbergen	51.6453	4.5997	748
714	Zinnik	50.57904	4.07129	749
715	Zoerle-Parwijs	51.08969	4.87108	749
716	Zomergem	51.11994	3.56496	749
717	Zottegem	50.86955	3.81052	749
718	Zundert	51.47167	4.65556	748
719	Swabia	48.33333	10.5	724
720	Zwijnaarde	51.00077	3.70746	749
722	Bevekom	50.78195	4.7718	749
724	Germany			724
725	France	46	2	0
727	Italy	42.83333	12.83333	727
729	Molenbaix	50.69379	3.43052	749
730	Overijse	50.77436	4.53461	749
732	Czechia	49.75	15	0
737	Cologne	50.93333	6.95	724
738	Trento			727
740	Rome	41.89193	12.51133	727
741	Firenze	43.77925	11.24626	727
742	Padua	45.40797	11.88586	727
743	Braunschweig	52.26594	10.52673	724
744	's-Gravenhage	52.07667	4.29861	0
745	Bolanden	49.63917	8.01194	724
748	Netherlands	52.25	5.75	0
749	Belgium	50.75	4.5	0
750	England	52.16045	-0.70312	0
751	Spain	40	-4	0
752	Aachen	50.776207	6.083788	724
753	Aaigem	50.8892	3.9372	749
754	Aalbeek	50.9003	5.8511	748
755	Aalden	52.7903	6.7186	748
